# kaplan@pulsar:~/mwa/MandC$ psql -h mwa.mit.edu -U mwa 
# mwa=> select * from grid_points;
# retrieved 2012-05-02 by D Kaplan
#name  | number | azimuth  | elevation |   sigma    |                     delays                     
#------+--------+----------+-----------+------------+------------------------------------------------
 sweet |     91 | 111.8014 |   50.3239 | 6.5658e-08 | {0,5,10,15,2,7,12,17,4,9,14,19,6,11,16,21}
 sweet |     92 | 158.1986 |   50.3239 | 6.5658e-08 | {0,2,4,6,5,7,9,11,10,12,14,16,15,17,19,21}
 sweet |     93 | 201.8014 |   50.3239 | 6.5658e-08 | {6,4,2,0,11,9,7,5,16,14,12,10,21,19,17,15}
 sweet |     94 | 248.1986 |   50.3239 | 6.5658e-08 | {15,10,5,0,17,12,7,2,19,14,9,4,21,16,11,6}
 sweet |     95 | 291.8014 |   50.3239 | 6.5658e-08 | {21,16,11,6,19,14,9,4,17,12,7,2,15,10,5,0}
 sweet |     96 | 338.1986 |   50.3239 | 6.5658e-08 | {21,19,17,15,16,14,12,10,11,9,7,5,6,4,2,0}
 sweet |     97 |       45 |   47.8822 |  6.897e-08 | {12,16,20,24,8,12,16,20,4,8,12,16,0,4,8,12}
 sweet |     98 |      135 |   47.8822 |  6.897e-08 | {0,4,8,12,4,8,12,16,8,12,16,20,12,16,20,24}
 sweet |     99 |      225 |   47.8822 |  6.897e-08 | {12,8,4,0,16,12,8,4,20,16,12,8,24,20,16,12}
 sweet |    100 |      315 |   47.8822 |  6.897e-08 | {24,20,16,12,20,16,12,8,16,12,8,4,12,8,4,0}
 sweet |    101 |  30.9638 |   46.2671 | 7.1093e-08 | {15,18,21,24,10,13,16,19,5,8,11,14,0,3,6,9}
 sweet |    102 |  59.0362 |   46.2671 | 7.1093e-08 | {9,14,19,24,6,11,16,21,3,8,13,18,0,5,10,15}
 sweet |    103 | 120.9638 |   46.2671 | 7.1093e-08 | {0,5,10,15,3,8,13,18,6,11,16,21,9,14,19,24}
 sweet |    104 | 149.0362 |   46.2671 | 7.1093e-08 | {0,3,6,9,5,8,11,14,10,13,16,19,15,18,21,24}
 sweet |    105 | 210.9638 |   46.2671 | 7.1093e-08 | {9,6,3,0,14,11,8,5,19,16,13,10,24,21,18,15}
 sweet |    106 | 239.0362 |   46.2671 | 7.1093e-08 | {15,10,5,0,18,13,8,3,21,16,11,6,24,19,14,9}
 sweet |    107 | 300.9638 |   46.2671 | 7.1093e-08 | {24,19,14,9,21,16,11,6,18,13,8,3,15,10,5,0}
 sweet |    108 | 329.0362 |   46.2671 | 7.1093e-08 | {24,21,18,15,19,16,13,10,14,11,8,5,9,6,3,0}
 sweet |    109 |        0 |    44.656 | 7.3154e-08 | {18,18,18,18,12,12,12,12,6,6,6,6,0,0,0,0}
 sweet |    110 |       90 |    44.656 | 7.3154e-08 | {0,6,12,18,0,6,12,18,0,6,12,18,0,6,12,18}
 sweet |    111 |      180 |    44.656 | 7.3154e-08 | {0,0,0,0,6,6,6,6,12,12,12,12,18,18,18,18}
 sweet |    112 |      270 |    44.656 | 7.3154e-08 | {18,12,6,0,18,12,6,0,18,12,6,0,18,12,6,0}
 sweet |    113 |   9.4623 |   43.8504 | 7.4163e-08 | {18,19,20,21,12,13,14,15,6,7,8,9,0,1,2,3}
 sweet |    114 |  80.5377 |   43.8504 | 7.4163e-08 | {3,9,15,21,2,8,14,20,1,7,13,19,0,6,12,18}
 sweet |    115 |  99.4623 |   43.8504 | 7.4163e-08 | {0,6,12,18,1,7,13,19,2,8,14,20,3,9,15,21}
 sweet |    116 | 170.5377 |   43.8504 | 7.4163e-08 | {0,1,2,3,6,7,8,9,12,13,14,15,18,19,20,21}
 sweet |    117 | 189.4623 |   43.8504 | 7.4163e-08 | {3,2,1,0,9,8,7,6,15,14,13,12,21,20,19,18}
 sweet |    118 | 260.5377 |   43.8504 | 7.4163e-08 | {18,12,6,0,19,13,7,1,20,14,8,2,21,15,9,3}
 sweet |    119 | 279.4623 |   43.8504 | 7.4163e-08 | {21,15,9,3,20,14,8,2,19,13,7,1,18,12,6,0}
 sweet |    120 | 350.5377 |   43.8504 | 7.4163e-08 | {21,20,19,18,15,14,13,12,9,8,7,6,3,2,1,0}
 sweet |    121 |  18.4349 |   41.4255 | 7.7111e-08 | {18,20,22,24,12,14,16,18,6,8,10,12,0,2,4,6}
 sweet |    122 |  71.5651 |   41.4255 | 7.7111e-08 | {6,12,18,24,4,10,16,22,2,8,14,20,0,6,12,18}
 sweet |    123 | 108.4349 |   41.4255 | 7.7111e-08 | {0,6,12,18,2,8,14,20,4,10,16,22,6,12,18,24}
 sweet |    124 | 161.5651 |   41.4255 | 7.7111e-08 | {0,2,4,6,6,8,10,12,12,14,16,18,18,20,22,24}
 sweet |    125 | 198.4349 |   41.4255 | 7.7111e-08 | {6,4,2,0,12,10,8,6,18,16,14,12,24,22,20,18}
 sweet |    126 | 251.5651 |   41.4255 | 7.7111e-08 | {18,12,6,0,20,14,8,2,22,16,10,4,24,18,12,6}
 sweet |    127 | 288.4349 |   41.4255 | 7.7111e-08 | {24,18,12,6,22,16,10,4,20,14,8,2,18,12,6,0}
 sweet |    128 | 341.5651 |   41.4255 | 7.7111e-08 | {24,22,20,18,18,16,14,12,12,10,8,6,6,4,2,0}
 sweet |    129 |  38.6598 |   40.6123 | 7.8069e-08 | {15,19,23,27,10,14,18,22,5,9,13,17,0,4,8,12}
 sweet |    130 |  51.3402 |   40.6123 | 7.8069e-08 | {12,17,22,27,8,13,18,23,4,9,14,19,0,5,10,15}
 sweet |    131 | 128.6598 |   40.6123 | 7.8069e-08 | {0,5,10,15,4,9,14,19,8,13,18,23,12,17,22,27}
 sweet |    132 | 141.3402 |   40.6123 | 7.8069e-08 | {0,4,8,12,5,9,13,17,10,14,18,22,15,19,23,27}
